,missionCandidate,missionId,status,Time_matching_score,Salary_matching_score,General_matching_score_dict
0,rec0ijxnKLBBDIYQ7,rec7MvbTywFTvWryg,Rejected by CP,,-0.2,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 0,
        ""Reason"": ""The candidate has hardskills of javascript and ruby-on-rails which are related to the job requirement of Ruby, PostgreSQL, Heroku, Typescript, React native, React. The degree subject of Web developer covers some of the job requirement. The candidate can work remotely or travel to the headquarters in Paris from time to time to meet the team. The candidate's location is europe/france which contains the job location europe/france/paris. However, the candidate can only speak English which is not the required language of the job.""
    }"
1,rec0int3CbDJkliSl,recUwquxTAuaSpYwc,Interview Process,,-6.0,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.5,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has healthcare and ivd hardskills which are related to the job position. The degree subject of the candidate is Biotechnology & Pharmaceutical Management which covers some of the skills required in the job position. The candidate can go to Europe/France which is the job location. The candidate can speak all the languages required in the job.""
    }"
2,rec0j4E310FlCL6zl,rec6N2U5wJf7t3ySH,Rejected by client,-0.01,-2.5,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 0.5,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has experience in a start-up (2-3 years) with a tech position with responsabilities, has an entrepreneur / startup mindset (likes taking risks), stayed at his previous positions for at least one year, experience with agronomic and technical issues (Vertical Farming), worked in greenhouse hydroponics, all types of technology are accepted, very good technical level based on hardware and software development experience in various technological environments, knowledge of UX. The candidate has hardskills related to the job requirements such as cloud-applications, hardware, software. The candidate has degree subjects related to the job requirements such as Quimica agrícola. The candidate can travel to the job location, Cartagena, or travel there a few days a month. The candidate can speak all the languages required for the job, en, es, fr.""
    }"
3,rec0jTM9sbzgKMpqP,rec5Vy4oVduUs4WKq,Sent to Client,,-2.15,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 7 hardskills which are related to the job requirements, and the degree subjects are related to the job position. The candidate can go to the job location and speak the required language.""
    }"
4,rec0pko6Vul5U0H61,recETHEgTGsGxaBPv,Screened by CP,-1.54,-2.0,"{
        ""Hardskill_Matching_Score"": 0.5,
        ""Degree_Subjects_Matching_Score"": 0.8,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has relevant hardskills (microsoft-office, vector) which are related to the job requirements (use of automotive diagnostics tools, repair solutions provision and disassembly and assembly skills). The candidate's degree subject (Systèmes embarqués) covers some of the job requirements. The candidate's location (europe/france) matches the job location. The candidate's language (en, fr) matches the job language.""
    }"
5,rec0QxeXOIvtWkU7A,recAczNwH7Yk3tM2z,Rejected by CP,,,"{
        ""Hardskill_Matching_Score"": 0.5,
        ""Degree_Subjects_Matching_Score"": 0.8,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has a Bachelor or Master in business, which covers the knowledge of Entrepreneur and BTOB Sales. The candidate has .com hardskills which is related to the job position. The candidate can speak English and local language which is required by the job. However, the candidate is not based in the Capital city and cannot travel to the job location.""
    }"
6,rec0rp34NubKJl8V4,recJHwegfLPOBlDmf,Rejected by client,,-0.0,"{
    ""Hardskill_Matching_Score"": 0.5,
    ""Degree_Subjects_Matching_Score"": 0.8,
    ""Position_Matching_Score"": 0.7,
    ""Location_Matching_Score"": 1,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has Microsoft Office, Oracle CRM, Photoshop and Salesforce.com hardskills which are related to the job requirements. The candidate has Information Systems Management degree subject which covers the job requirements. The candidate has the same language as the job requires. The candidate has the same location as the job requires. The candidate has the potential to do the job position.""
    }"
7,,recA3Ye1PMACJlO1Z,Rejected by CP,-0.33,-5.5,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has experience in building backend data services and microservices at scale, leading and architecting major new enhancements, strong understanding of web services and best practices, strong experience with managing the security aspects, working knowledge on Node.js, GraphQl, AWS, Express JS, PostgreSQL, Hasura. The candidate has a degree in Computer Science which covers most of the job requirements. The candidate has the hard skills and experience to fulfill the job position. The candidate can only speak English and Hindi, which does not match the job language requirement. The candidate is located in India, which does not match the job location requirement.""
    }"
8,rec0UyMHemcZU2cCd,recJHwegfLPOBlDmf,Rejected by CP,,,"{
    ""Hardskill_Matching_Score"": 0.5,
    ""Degree_Subjects_Matching_Score"": 0.8,
    ""Position_Matching_Score"": 0.7,
    ""Location_Matching_Score"": 1,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has hardskills related to the job requirements, such as BTO. The degree subjects of the candidate covers most of the job requirements. The candidate has the ability to do the job position. The candidate can go to the job location. The candidate can speak all the languages required for the job.""
    }"
9,,recwMSrftJ7BbX5mZ,Rejected by CP,,,"{
        ""Hardskill_Matching_Score"": ""NA"",
        ""Degree_Subjects_Matching_Score"": ""NA"",
        ""Position_Matching_Score"": ""NA"",
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 0,
        ""Reason"": ""The candidate's location does not match the job location and the candidate's language does not match the job language.""
    }"
10,rec0x1TasOk6bHSiR,reckP2haWFD9xplVj,Rejected by CP,,,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.9,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 0.5,
        ""Reason"": ""The candidate has 8 out of 10 hardskills required for the job, and the degree subject covers most of the job requirements. The candidate is capable of the job position, but the language ability is not enough. The candidate can go to the job location.""
    }"
11,rec0X28U5DFjwVB2G,recLaxiCREBzTpmDO,Rejected by CP,,-0.4,"{
        ""Hardskill_Matching_Score"": 0.5,
        ""Degree_Subjects_Matching_Score"": 0.8,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 2 out of 3 hardskills required for the job, their degree subjects cover most of the job requirements, they can work in the job location and they can speak both English and French which are the required languages for the job.""
    }"
12,rec10XB9YYbJmFsYA,rect4fduNiqcXC123,Interview Process,-0.06,-1.5,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has strong experience in Outbound Sales and a first experience as a manager, which matches the job requirements. The candidate has a degree in International Business, which covers some of the skills required in the job. The candidate has the hardskills and degree subjects to match the job position. The candidate can go to the job location. The candidate can speak all the languages required for the job.""
    }"
13,rec137G1mig6nZrkI,recsld3DKqBhnW6rg,Rejected by CP,-0.21,-0.65,"{
    ""Hardskill_Matching_Score"": 0.8,
    ""Degree_Subjects_Matching_Score"": 0.9,
    ""Position_Matching_Score"": 0.9,
    ""Location_Matching_Score"": 1,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has 2+ years experience in management consulting or data science, excellent analytical skills and ability to leverage data, metrics, analytics to generate insights creative ideas, quantitative thinking and strong problem-solving skills, excellent communication skills and full fluency in English and Arabic, and collaborative mindset. The candidate has hardskills of hive, java, Microsoft SQL Server, object-oriented languages, and python which are related to the job position of head-data-operations. The candidate has a degree in Computer Science which covers the skills required in the job position. The candidate can go to the job location of Asia/United Arab Emirates/Dubai. The candidate can speak the language of English and Arabic which are required in the job.""
    }"
14,rec1ELGXcgw4I5HPi,recnBWL7L2B5oicAV,Rejected by client,-0.61,-1.2,"{
    ""Hardskill_Matching_Score"": 0.8,
    ""Degree_Subjects_Matching_Score"": 0.6,
    ""Position_Matching_Score"": 0.9,
    ""Location_Matching_Score"": 1,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has hardskills related to the job requirements, such as energy, energy-audits, energy-conservation. The degree subject of the candidate is Energy Markets, which covers some of the job requirements. The candidate has experience in business-development, which is the job position. The candidate can go to the job location, Europe/France. The candidate can speak the language required by the job, French.""
    }"
15,rec1gO76DygLR1LLn,recDD8JBa77gVncOf,Rejected by client,,-0.75,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": ""NA"",
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 4 out of 5 hardskills required by the job, and the candidate can speak the required language and can go to the required location.""
    }"
16,rec1HL9iQwL50uUnO,recAczNwH7Yk3tM2z,Rejected by client,,-1.0,"{
        ""Hardskill_Matching_Score"": 0.75,
        ""Degree_Subjects_Matching_Score"": 0.5,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 3 out of 4 hardskills required for the job, and the degree subject is related to the job. The candidate can speak all the languages required for the job, but the location is not matched.""
    }"
17,rec1kBBtHtKA304Z4,recAtcVMDz425qUT3,Rejected by client,,-0.0,"{
    ""Hardskill_Matching_Score"": 0.8,
    ""Degree_Subjects_Matching_Score"": 0.9,
    ""Position_Matching_Score"": 0.9,
    ""Location_Matching_Score"": 1,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has 5 years of experience in data engineering or related field, BSc in Computer Science or similar, proven experience with Python, strong understanding of data warehousing, ETL processes, and data modelling, exposure to spreadsheet data pipelines, experience with Fintech companies, have an understanding how insurance works, experience with data visualisation tools, especially AWS QuickInsights, is a plus. The candidate is located in Europe/United Kingdom and can speak English. Therefore, the hardskill matching score is 0.8, degree subjects matching score is 0.9, position matching score is 0.9, location matching score is 1, language matching score is 1.""
    }"
18,rec1mIGi8qrfBetmy,recwMSrftJ7BbX5mZ,Rejected by CP,,-0.332,"{
    ""Hardskill_Matching_Score"": 0.8,
    ""Degree_Subjects_Matching_Score"": 0.6,
    ""Position_Matching_Score"": 0.7,
    ""Location_Matching_Score"": 0,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has two hardskills which are related to the job requirements, and the candidate has a degree in a related field. The candidate can speak all the languages required for the job, but the candidate's location does not match the job location.""
    }"
19,,recGrGIFWaByaa5dg,Mission closed by client,,-1.1,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 8 years of experience in growth hacking/marketing role in e-commerce industry, which is close to the job requirement. The candidate has a degree in marketing, which covers the skills required in the job. The candidate can speak all the languages required in the job. However, the candidate is not located in Saudi Arabia, which is the main market of the job.""
    }"
20,rec1S3lYXeRirIjJG,recwMSrftJ7BbX5mZ,Sent to Client,,-0.032,"{
    ""Hardskill_Matching_Score"": 0.8,
    ""Degree_Subjects_Matching_Score"": 0.6,
    ""Position_Matching_Score"": 0.7,
    ""Location_Matching_Score"": 1,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has two hardskills which are related to the job requirements, and the degree subject covers some of the job requirements. The candidate can work in the job location and can speak the required language.""
    }"
21,rec1UYf09r7B0IoP0,reclHFyhFZjXOSbEp,Rejected by CP,,-0.0,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": ""NA"",
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 0,
        ""Reason"": ""The candidate has 8 out of 10 hardskills required in the job description, and the candidate's location can match the job location. However, the candidate only speaks 4 out of 5 languages required in the job description, so the language matching score is 0.""
    }"
22,,rec7MvbTywFTvWryg,Rejected by CP,,,"{
    ""Hardskill_Matching_Score"": 0.8,
    ""Degree_Subjects_Matching_Score"": 0.6,
    ""Position_Matching_Score"": 0.9,
    ""Location_Matching_Score"": 1,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has experience in Ruby, PostgreSQL, Heroku, Typescript, React native, React, which are all required for the job. The candidate has a degree in Computer Science, which covers most of the skills required for the job. The candidate is able to work remotely or travel to the headquarters in Paris from time to time to meet the team. The candidate is native French. The candidate can speak both English and French, which are both required for the job.""
    }"
23,rec23icxDcERAoGZf,reclHFyhFZjXOSbEp,Rejected by CP,,,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": ""NA"",
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 0,
        ""Reason"": ""The candidate has React hardskill which is related to the job requirement. The candidate's location can match the job location. The candidate can only speak French, which is not enough to meet the job requirement of both English and French.""
    }"
24,rec2cMxXDObOXGZkV,reczkFBZXTtSjNX96,Rejected by client,,,"{
    ""Hardskill_Matching_Score"": 0.75,
    ""Degree_Subjects_Matching_Score"": ""NA"",
    ""Position_Matching_Score"": 0.75,
    ""Location_Matching_Score"": 1,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has 3 out of 4 hardskills required by the job, and the candidate's location and language are matched with the job's location and language.""
    }"
25,rec2G9X4qqOll57vX,recGrGIFWaByaa5dg,Mission closed by client,,-1.2,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": ""NA"",
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 8 out of 10 hardskills required for the job, and the candidate can speak both Arabic and English which are required for the job. The candidate's location is in Dubai which is the same as the job location. Therefore, the candidate is a good fit for the job.""
    }"
26,rec2iDr1NCOV3wBs5,rec2jbStt0bBp170k,Rejected by CP,,,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.5,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 4 out of 5 hardskills required for the job, and the degree subject is related to the job. The candidate can work remotely and can speak both English and French, which are the required languages for the job.""
    }"
27,rec2idvmCYbxhFklw,recwMSrftJ7BbX5mZ,Sent to Client,,,"{
        ""Hardskill_Matching_Score"": 0.5,
        ""Degree_Subjects_Matching_Score"": ""NA"",
        ""Position_Matching_Score"": 0.5,
        ""Location_Matching_Score"": ""NA"",
        ""Language_Matching_Score"": 1,
        ""Reason"": ""Candidate has hardskills in MySQL and Python which are related to the job requirements. Candidate has language skills in English and Hindi which are required for the job. Candidate does not have degree subjects related to the job requirements and does not have location data.""
    }"
28,rec2IVOhnFbQ2pXHh,rec7MvbTywFTvWryg,Rejected by client 3rd round,,-0.5,"{
    ""Hardskill_Matching_Score"": 0.8,
    ""Degree_Subjects_Matching_Score"": 0.6,
    ""Position_Matching_Score"": 0.9,
    ""Location_Matching_Score"": 1,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has 8 out of 10 hardskills required by the job, and the degree subject covers 6 out of 10 skills required by the job. The candidate can work remotely and speaks the required language. Therefore, the position matching score is 0.9, the location matching score is 1, and the language matching score is 1.""
    }"
29,rec2jHiGLOqTozp6O,recLaxiCREBzTpmDO,Sent to Client,,-0.1,"{
        ""Hardskill_Matching_Score"": 0.5,
        ""Degree_Subjects_Matching_Score"": 0.8,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 2-3 years of experience in Admin and Office management, and has business-strategy and microsoft-office hardskills. The degree subject International Business Management covers most of the job requirements. The candidate can go to Paris, and can speak both English and French, which are the required languages of the job.""
    }"
30,rec2lz6kUJwqLBzCn,recfkE9v9SjgMs0Ss,Screened by CP,,,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.5,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 0,
        ""Reason"": ""Candidate has 5 hardskills which are related to the job position, degree subjects is related to the job position, candidate can go to the job locations, but candidate can not speak the required language.""
    }"
31,rec2YMCKq5AZzrh7K,recUwquxTAuaSpYwc,Candidate not interested,,-0.8,"{
        ""Hardskill_Matching_Score"": 0.75,
        ""Degree_Subjects_Matching_Score"": 0.5,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 3 out of 4 hardskills required for the job, and the degree subject covers half of the job requirement. The candidate has the required language and location for the job.""
    }"
32,,recXsP0cgPHypy429,Rejected by client,,,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 0,
        ""Reason"": ""The candidate has hardskills that are related to the job requirements, and the degree subjects cover some of the job requirements. The candidate's location matches the job location, but the candidate does not speak the required language for the job.""
    }"
33,rec3byfg3s4BHLGqf,recETHEgTGsGxaBPv,Rejected by client,-0.91,-56.0,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.9,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has relevant hardskills, degree subjects and language for the job. The candidate's location is also matched with the job location.""
    }"
34,rec3CHFVL6i5xl5IX,reczkFBZXTtSjNX96,Sent to Client,,,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": ""NA"",
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""Candidate has 5 out of 6 hardskills required in the job description, and the candidate can go to the job location and speak the required language.""
    }"
35,rec3dIme0mCAZVKYH,recMh3kDSANBvdJbu,Rejected by CP,,,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 8 out of 10 hardskills required for the job, and the degree subjects covers 6 out of 10 skills required for the job. The candidate can speak both English and Hindi which are required for the job. However, the candidate's location does not match with the job location.""
    }"
36,rec3j3GJqqaG6mjoK,recIa8aDuWkKPM8rx,Rejected by CP,,-0.5,"{
    ""Hardskill_Matching_Score"": 0.5,
    ""Degree_Subjects_Matching_Score"": 0.8,
    ""Position_Matching_Score"": 0.7,
    ""Location_Matching_Score"": 1,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has a hardskill 'hunting' which is related to the job position 'business-development'. The candidate has a degree subject 'Action commerciale' which covers some of the skills required in the job requirements. The candidate can go to the job location 'europe/france' and can speak the language 'fr' which is required in the job.""
    }"
37,,recONKansnIbXY6ij,Mission closed by client,,,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""Candidate has hardskills related to the job requirements, degree subjects covers most of the job requirements, candidate has experience in the job position, candidate can go to the job location, and candidate can speak all the languages required for the job.""
    }"
38,rec3UDIKDapizjpjG,recKmfrKT4uTpCS2x,Waiting list,,,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 5 out of 8 hardskills required for the job, and the degree subject covers some of the skills required for the job. The candidate can speak all the languages required for the job, but the location does not match with the job location.""
    }"
39,rec3Zm1NBca1RI7uq,recMh3kDSANBvdJbu,Sent to Client,,,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 8 out of 10 hardskills required for the job, 6 out of 11 degree subjects required for the job, 9 out of 10 hardskills and degree subjects required for the job, 0 out of 1 location required for the job, and 1 out of 2 languages required for the job.""
    }"
40,rec445AfBMgEp6rEV,rec1fLbPRArMKBz4D,Rejected by CP,,-0.8,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has a Bachelor or Master in business, and has knowledge of Entrepreneur, Passion for BTOB Sales, Fluency in English and local language, Driving License, Willing to travel, Be able to attend necessary meetings, and Experienced in consumer electronics (mobile phones, headphones, etc.) or physical product sales. The candidate's location is in the same country as the job location, and the candidate can speak the language required for the job. Therefore, the hardskill matching score is 0.8, the degree subjects matching score is 0.6, the position matching score is 0.7, the location matching score is 1, and the language matching score is 1.""
    }"
41,rec4dGgktzAhUSALE,recKmfrKT4uTpCS2x,Rejected by CP,,,"{
        ""Hardskill_Matching_Score"": 0.75,
        ""Degree_Subjects_Matching_Score"": 0.5,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""Candidate has driving license, management, marketing and sales hardskills which are related to the job requirements. Candidate has a degree in Business Administration which covers some of the job requirements. Candidate is capable of the job position based on the hardskills and degree subjects. Candidate's location does not match with the job location. Candidate's language matches with the job language.""
    }"
42,rec4INn4zLQsSN8nX,rec0t420QAE6AgEAn,Rejected by CP,-0.17,-0.5,"{
        ""Hardskill_Matching_Score"": 0.5,
        ""Degree_Subjects_Matching_Score"": 0.8,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has .net-compact-framework and jdeveloper hardskills which are related to the job position, but not all the skills required. The candidate has Bachelor degree in Design Web Programmation objet et frameworks Gestion de projet which covers most of the job requirements. The candidate can speak French which is required for the job. The candidate's location is not matched with the job location.""
    }"
43,rec4kZZ3hjlC8Mxun,recMh3kDSANBvdJbu,Sent to Client,,,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": ""NA"",
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""Candidate has 8 out of 10 hardskills required for the job, and the candidate can speak both English and Hindi which are the required languages for the job. The candidate can also work in the job location.""
    }"
44,rec4SMmUMa8OT2rdU,recMh3kDSANBvdJbu,Rejected by CP,,,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has hardskills in Java which is related to the job requirement. The degree subjects of the candidate covers some of the job requirement. The candidate is capable of the job position. The candidate can go to the job location. The candidate can speak all the languages required for the job.""
    }"
45,rec4SyYUjU2nn5zlh,rec6N2U5wJf7t3ySH,Rejected by CP,-0.03,-3.994,"{
        ""Hardskill_Matching_Score"": 0.5,
        ""Degree_Subjects_Matching_Score"": 0.8,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has ignite-ux, pack-office, and sig hardskills which are related to the job requirements. The candidate has degree subjects in sciences agronomiques, sociales et économiques, appliquées aux milieux tropicaux which covers most of the job requirements. The candidate has the hardskills and degree subjects which are related to the job position. The candidate can travel to the job location or work remotely. The candidate can speak all the languages required for the job.""
    }"
46,rec4TOnVdc0ZADtgy,rec6N2U5wJf7t3ySH,Rejected by CP,-0.33,-0.0,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 0,
        ""Reason"": ""The candidate has 8 out of 10 hardskills required for the job, and the degree subject covers 60% of the job requirement. The candidate has the necessary hardskills and degree subject to fulfill the job position. The candidate's location is in the same country as the job location, and the candidate can travel there often. However, the candidate only speaks 5 languages, which does not match the job requirement of 2 languages.""
    }"
47,rec4w5AaNa3vIukBK,recAtcVMDz425qUT3,Rejected by CP,,-0.5,"{
    ""Hardskill_Matching_Score"": 0.8,
    ""Degree_Subjects_Matching_Score"": ""NA"",
    ""Position_Matching_Score"": 0.7,
    ""Location_Matching_Score"": ""NA"",
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has 5 out of 7 hardskills required for the job, and the candidate can speak the required language for the job. However, the candidate does not have a degree in a related field and the location data is missing.""
    }"
48,,recwe9VS4h7Qfkzjd,Mission closed by client,,,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 8 out of 10 hardskills required for the job, and the degree subjects are related to the job position. The candidate can work in the job location and can speak all the languages required for the job.""
    }"
