airtableId,jobStart,jobEnd,salaryMin,salaryMax,requirementsDescription,position,sectorExpMin,sectorExpMax,positionExpMin,positionExpMax,mission,MissionLocations,mission,MissionLanguages
rec03eX80AwunU8KN,,,50000,50000,"<ul class=""liste"">
<li>Language: fluent English, German is a plus</li>
<li>Working experience: any, attentive and detail-oriented, Windows architecture is a plus</li>
<li>Education: EU citizens/residence holders – any; others have to have a University degree (starting from Bachelor) so we can sponsor the work permit</li>
</ul>
",others,2,2,2,10,rec03eX80AwunU8KN,europe/germany/berlin,rec03eX80AwunU8KN,en
rec0t420QAE6AgEAn,2023-04-01,,35000,55000,"<p>● 1 year of experience minimum (with a work-study)<br>
● Two to three years of significant software dev experience in front and back in a team<br>
● The candidate must speak French<br>
● Willingness to work in a team, to manage projects from start to finish<br>
● Years of freelance experience are not taken for granted<br>
● Autonomous<br>
● Very high work requirement<br>
● Willingness to work in a startup with high growth potential<br>
● Design work and reflection<br>
● The candidate should preferably come from the New Aquitaine region (Bordeaux)<br>
● French engineering school ,Epitech and/or Ecole 42 (full curriculum)</p>
",full-stack-developer,,,,,,,rec0t420QAE6AgEAn,fr
rec11F8d7djUmcYvT,,,24000,24000,"<ul class=""liste"">
<li>Bachelor or Master in business</li>
<li>Based in Capital city is necessary</li>
<li>Knowledge of Entrepreneur</li>
<li>Passion for BTOB Sales, eager to get more commissions</li>
<li>Fluency in English and local language</li>
<li>Driving License</li>
<li>Willing to travel</li>
<li>Be able to attend necessary meetings</li>
<li>Experienced candidates: experience in consumer electronics (mobile phones, headphones, etc.) or physical product sales; Inexperienced candidates: favouring recent graduate</li>
</ul>
",sales-manager,0,0,0,3,rec11F8d7djUmcYvT,europe/bulgaria,rec11F8d7djUmcYvT,"bg,en"
rec1fLbPRArMKBz4D,,,48000,48000,"<ul class=""liste"">
<li>Bachelor or Master in business</li>
<li>Based in Capital city is necessary</li>
<li>Knowledge of Entrepreneur</li>
<li>Passion for BTOB Sales, eager to get more commissions</li>
<li>Fluency in English and local language</li>
<li>Driving License</li>
<li>Willing to travel</li>
<li>Be able to attend necessary meetings</li>
<li>Experienced candidates: experience in consumer electronics (mobile phones, headphones, etc.) or physical product sales; Inexperienced candidates: favouring recent graduate</li>
</ul>
",sales-manager,0,0,0,3,rec1fLbPRArMKBz4D,europe/united-kingdom/city-of-london,rec1fLbPRArMKBz4D,en
rec25eM1zf8i9g7V4,,,8320,12480,"<ul class=""liste"">
<li>Looking for people with at least one year of experience, preferably 2 years</li>
<li>They should be trained on industry standard tools</li>
<li>They should have Bachelor of Engineering degree in computer science or IT is a must</li>
<li>They will work with the US team where they are looking at the tickets which are gonna be generated in terms of security, as well as internal tickets</li>
<li>They are documenting a lot of security protocols</li>
<li>They are coming up with new security protocals whenever required.</li>
</ul>
",security-engineer,,,1,2,rec25eM1zf8i9g7V4,asia/india,rec25eM1zf8i9g7V4,"en,hi"
rec2jbStt0bBp170k,2023-04-01,2023-06-01,35000,40000,"<p>-3+ years of experience as a Graphic Designer in either an in-house, agency or freelance setting<br>
-Ideally a BA or higher in Graphic Design and/or Visual Communication<br>
-English and French</p>
",graphic-designer,2,2,3,5,,,rec2jbStt0bBp170k,"en,fr"
rec2klFOiG4bFFIQM,,,40000,45000,"<p>**Our requirements: **<br>
● Vous avez déjà une à<br>
plusieurs expériences professionnelles<br>
ayant trait à la finance ● Vous avez l'esprit d'équipe,<br>
un bon sens des affaires<br>
, et un<br>
esprit analytique</p>
<p>● Vous êtes à l'écoute et attentif, ce qui vous permet de comprendre les besoins. Vous pouvez structurer votre travail, suivre les indicateurs de performance et gérer les rapports de manière naturellement proactive.<br>
● Vous avez un bon esprit d'analyse et vous êtes doué pour les chiffres.<br>
●<br>
Rigueur, autonomie, proactivité, fiabilité<br>
sont des qualificatifs qui vous correspondent. ● Vous savez être autonome sur les sujets de préparation de levée de fonds, sur la<br>
participation au business plan, gestion du cash, des banques, cabinets comptables<br>
et de la comptabilité fournisseurs<br>
● Une maîtrise du<br>
français et de l’anglais courant est obligatoire</p>
",auditor,,,,,rec2klFOiG4bFFIQM,europe/france,,
rec2Xnb1aA6Evh8id,,,60000,75000,"<p>**Technology used by the company is Ruby **</p>
<ul class=""liste"">
<li><strong>5 to 10 years of experience as a Full Stack  developer</strong></li>
<li>Previous experience in**a scale-up (at least 2 years) **<br>
Stack to master:<br>
**Ruby **and/or **Django (at least 2 years old) **<br>
** **</li>
<li><strong>Back :  Ruby, PostgreSQL, Heroku</strong></li>
<li><strong>Front : Typescript , React native, React</strong><br>
** **</li>
<li>Proximity to Paris but not mandatory</li>
<li>The candidate can both work remotely and travel to the headquarters in Paris from time to time to meet the team.</li>
<li>The candidate must be **French native/or professional level **</li>
</ul>
",full-stack-developer,,,,,rec2Xnb1aA6Evh8id,europe/france/paris,rec2Xnb1aA6Evh8id,fr
rec4HUudTcWwWYHm2,2023-04-01,2023-06-01,70000,80000,"<p>-Mobile web3 tech experience<br>
-Web3 experience on mobile as a user<br>
-Experience working in full remote / autonomy (he / she will be alone on his project at the beginning, we need someone really autonomous)<br>
-Deployed and maintained 1 or more apps on the stores for several years (we don't want someone who has made 40 MVPs but never pushed further)<br>
-English and French<br>
-Top 30 Schools of Engineer in Europe</p>
",developer,0,0,3,5,,,rec4HUudTcWwWYHm2,"en,fr"
rec4uikpCMqbSRZVN,,,40000,40000,"<p>Experience of delivering research and insights projects, whether it is from a consultancy (McKinsey, Deloitte etc) or from agency.<br>
Do not have to be Chinese, English needs to be at native level, because most of the output will be in English, and it is talking about insights.</p>
",research,3,3,3,5,rec4uikpCMqbSRZVN,"asia/china/shanghai,europe/united-kingdom/city-of-london",rec4uikpCMqbSRZVN,en
rec5J1KpQYUAeo0rW,,,,,"<p>●     You have 5+ years of experience in B2B sales management, preferably in the agri-food sector and / or in SaaS ;<br>
 <br>
●     You are a great communicator and story-teller with any of your prospects’ representatives from C-level to operational staff ;<br>
 <br>
●     You speak English and an additional language among German, Spanish, Italian and Portuguese with full professional proficiency ;<br>
 <br>
●     Bonus 1 : you bring your own portfolio of leads to the table</p>
",sales-manager,,,,,rec5J1KpQYUAeo0rW,europe/spain,rec5J1KpQYUAeo0rW,"en,es"
rec5Vy4oVduUs4WKq,,,24000,24000,"<ul class=""liste"">
<li>Bachelor or Master in business</li>
<li>Based in Capital city is necessary</li>
<li>Knowledge of Entrepreneur</li>
<li>Passion for BTOB Sales, eager to get more commissions</li>
<li>Fluency in English and local language</li>
<li>Driving License</li>
<li>Willing to travel</li>
<li>Be able to attend necessary meetings</li>
<li>Experienced candidates: experience in consumer electronics (mobile phones, headphones, etc.) or physical product sales; Inexperienced candidates: favouring recent graduate</li>
</ul>
",sales-manager,0,0,0,3,rec5Vy4oVduUs4WKq,europe/hungary/budapest,rec5Vy4oVduUs4WKq,"en,hu"
rec6FbicTfw4lJnJb,,,,,,graphic-designer,,,,,rec6FbicTfw4lJnJb,asia/china/shanghai,,
rec6N2U5wJf7t3ySH,2023-04-03,,40000,70000,"<p>-Previous experience in <strong>a start-up (2-3 years)</strong> with a <strong>tech</strong> position with <strong>responsabilities</strong><br>
-Have an entrepreneur / startup mindset (likes taking risks)<br>
**-**Stayed at his previous positions for <strong>at least one year</strong><br>
-Experience with <strong>agronomic and technical issues</strong> (Vertical Farming)<br>
-Worked in greenhouse hydroponics.<br>
-All types of technology are accepted<br>
-Very good technical level based on hardware and software development experience in various technological environments<br>
-Knowledge of UX</p>
<p>Information for recruiters !</p>
<p>-Ideally, you should find a candidate who lives within 50 km of Cartagena!<br>
-If this is too complicated, find a candidate who is able to travel there often.<br>
-And if that's not possible, find a candidate who can travel there a few days a month.</p>
",cto,,,1,5,rec6N2U5wJf7t3ySH,europe/spain,rec6N2U5wJf7t3ySH,"es,fr"
rec7MvbTywFTvWryg,,,45000,60000,"<p>**Technology used by the company is Ruby **</p>
<ul class=""liste"">
<li>
<p>Min **2 years of experience **as a full stack developer or school exit (-<strong>Top engineering school – “Top 10”</strong>) -Info school (only Epita)</p>
</li>
<li>
<p>Proximity to Paris but not mandatory</p>
</li>
<li>
<p>The candidate can both work remotely and travel to the headquarters in Paris from time to time to meet the team.</p>
</li>
<li>
<p>The candidate must be native French (or professional level)</p>
</li>
<li>
<p><strong>Back :  Ruby, PostgreSQL, Heroku</strong></p>
</li>
<li>
<p><strong>Front : Typescript , React native, React</strong></p>
</li>
</ul>
",full-stack-developer,,,,,rec7MvbTywFTvWryg,europe/france/paris,rec7MvbTywFTvWryg,fr
rec7xEN8zbh8tgIKb,,,,,"<p>●     You have 5+ years of experience in B2B sales management, preferably in the agri-food sector and / or in SaaS ;<br>
 <br>
●     You are a great communicator and story-teller with any of your prospects’ representatives from C-level to operational staff ;<br>
 <br>
●     You speak English and an additional language among German, Spanish, Italian and Portuguese with full professional proficiency ;<br>
 <br>
●     Bonus 1 : you bring your own portfolio of leads to the table</p>
",sales-manager,,,,,rec7xEN8zbh8tgIKb,europe/italy,,
rec8bfj7bRT0J8eS9,,,,,"<p>-Remote Position<br>
-2 to 4 years experiences<br>
-Looking for someone to develop the mobile app in react native<br>
-Specialized in react native (with notion in react) to be a support in the future to the front desktop team.<br>
-Build the application from scratch alone. ( Would be the first mobile developer)</p>
",front-end-developer,,,,,rec8bfj7bRT0J8eS9,europe/france,,
rec8fX8ZnMmWDyHil,,,40000,40000,"<p>Speak Chinese<br>
Chinese social media background<br>
Agency experience</p>
",social-media,3,3,3,5,rec8fX8ZnMmWDyHil,"asia/china/shanghai,europe/united-kingdom/city-of-london",rec8fX8ZnMmWDyHil,"en,zh"
rec96BR3nXDyb71ou,2023-05-21,,60000,90000,"<ul class=""liste"">
<li>
<p>think-cell accepts different profiles for the position of C++ developer, regardless of previous specialisation and years of experience.</p>
</li>
<li>
<p>For them, it is more important to assess programming skills rather than a good CV and previous projects.  As all their recruitment steps are task-based, the selection of candidates depends purely on test results.</p>
</li>
</ul>
",others,5,5,5,10,rec96BR3nXDyb71ou,europe/germany/berlin,rec96BR3nXDyb71ou,en
rec9B1Iwayh8YU3pc,,,,,,merger-and-acquisition-analyst,,,,,rec9B1Iwayh8YU3pc,europe/france/paris,,
rec9RDss2TSARp40h,,,,,,ios-developer,,,,,rec9RDss2TSARp40h,"americas/united-states,asia/india,europe",,
recA3Ye1PMACJlO1Z,2023-04-03,,65000,120000,"<ul class=""liste"">
<li>Experience in building backend data services and Microservices at scale</li>
<li>Experience leading and architecting major new enhancements</li>
<li>Strong understanding of web services and best practices    Strong experience with managing the security aspects</li>
<li>Have working knowledge on following technologies:<br>
Node.js – GraphQl – AWS  - Express JS – PostgreSQL - Hasura</li>
<li>Experience – min 7 years experience</li>
<li>Experience in a tech start-up or large company</li>
<li>Have stayed in a company for at least 2 years</li>
</ul>
",backend-developer,,,6,9,recA3Ye1PMACJlO1Z,"americas/united-states,asia/india,europe",recA3Ye1PMACJlO1Z,en
recAczNwH7Yk3tM2z,,,30000,42000,"<ul class=""liste"">
<li>Bachelor or Master in business</li>
<li>Based in Capital city is necessary</li>
<li>Knowledge of Entrepreneur</li>
<li>Passion for BTOB Sales, eager to get more commissions</li>
<li>Fluency in English and local language</li>
<li>Driving License</li>
<li>Willing to travel</li>
<li>Be able to attend necessary meetings</li>
<li>Experienced candidates: 2-5 years of experience in consumer electronics products (mobile phones, headphones, etc.) or physical product sales (Age cannot exceed 40); Inexperienced candidates: favouring recent graduate</li>
</ul>
",sales-manager,0,0,0,3,recAczNwH7Yk3tM2z,europe/france/ile-de-france,recAczNwH7Yk3tM2z,"en,fr"
recaniL7Rb7phHsuO,2023-04-11,,45000,46000,"<ul class=""liste"">
<li>A strong experience as an Outbound Sales (minimum 3 years) and a first experience as a manager.</li>
<li>Like to thrive in challenging environments and have a problem-solver approach.</li>
<li>Have an interest in the restaurant business.</li>
<li>Excellent oral and written communication skills.</li>
<li>Have a strong ability to structure and implement processes.</li>
<li>Fluent in Lebanese and English.</li>
<li>(Bonus but not mandatory): Knowledge of French and/or Flemish</li>
<li>(Bonus but not mandatory): Proficient in the Hubspot CRM software or another CRM software</li>
<li>(Bonus but not mandatory): Experience in the hospitality and/or restaurant industry</li>
</ul>
",sales-director,3,3,3,10,recaniL7Rb7phHsuO,europe/france/paris,recaniL7Rb7phHsuO,ar
recAtcVMDz425qUT3,2023-05-15,,75000,85000,"<p>They are looking for the person behind the data science. the candidate must be curious, collegial, hard-working individual with the vision to change the world. Critical questioning of key decisions and motivation to create efficient processes for clients and our company is crucial. He is humble, know when to ask for help, and enjoy learning alongside your colleagues. He take ownership and deliver results. This will makes a candidate the perfect Diesta team member!</p>
<p>Skills &amp; Experience needed:</p>
<ul class=""liste"">
<li>At least 5 years of experience in data engineering or related field</li>
<li>BSc in Computer Science or similar</li>
<li>Proven experience with Python</li>
<li>Strong understanding of data warehousing, ETL processes, and data modelling</li>
<li>Be a resident in England, Wales or Scotland</li>
<li>Be curious and reliable</li>
<li>Exposure to spreadsheet data pipelines.</li>
</ul>
<p>The wow factor (not required but the stuff we love to see!)</p>
<ul class=""liste"">
<li>Experience with Fintech companies</li>
<li>Have an understanding how insurance works</li>
<li>Experience with data visualisation tools, especially AWS QuickInsights, is a plus</li>
</ul>
",data-engineer,4,4,5,9,,,recAtcVMDz425qUT3,en
recavhovBsS2p3eZO,,,24000,24000,"<ul class=""liste"">
<li>Bachelor or Master in business</li>
<li>Based in Capital city is necessary</li>
<li>Knowledge of Entrepreneur</li>
<li>Passion for BTOB Sales, eager to get more commissions</li>
<li>Fluency in English and local language</li>
<li>Driving License</li>
<li>Willing to travel</li>
<li>Be able to attend necessary meetings</li>
<li>Experienced candidates: experience in consumer electronics (mobile phones, headphones, etc.) or physical product sales; Inexperienced candidates: favouring recent graduate</li>
</ul>
",sales-manager,0,0,0,3,recavhovBsS2p3eZO,europe/romania,recavhovBsS2p3eZO,"en,ro"
recbkqmFA5hf81Ppv,,,,,,merger-and-acquisition-analyst,,,,,recbkqmFA5hf81Ppv,europe/france/paris,,
recBNbiMFDkK5SgOv,2023-04-11,,40000,40000,"<ul class=""liste"">
<li>Have experience in a foodtech environment</li>
<li>Have excellent sales, communication and negotiation skills</li>
<li>Already have experience as an SDR or Business Developer (If possible in a foodtech environment)</li>
<li>Speak English and Mandarin (even better if the candidate speaks French too!)</li>
<li>(Bonus points) Proficient in the Hubspot CRM software</li>
</ul>
",sales-manager,1,1,1,5,recBNbiMFDkK5SgOv,europe/france/paris,recBNbiMFDkK5SgOv,zh
recC6RWYEOatIMt7M,,,,,"<p>●     Vous avez 2 ans ou plus d'expérience dans le développement d'applications web.<br>
●     Vous avez déjà travaillé avec un langage backend (Node/TS si possible, ouvert à d'autres langages back)<br>
●     Vous avez déjà travaillé avec GraphQL ou vous aimeriez le faire.<br>
●     Vous êtes à l'aise avec les bases de données PostgreSQL ou SQL.<br>
●     Vous devez apprendre rapidement et aimer résoudre des problèmes.<br>
●     Vous avez l'esprit d'équipe, vous êtes désireux de fournir des commentaires et heureux de les recevoir comme des opportunités d'apprentissage.<br>
●     Vous savez comment établir des priorités afin de livrer à temps, car la rapidité d'exécution est essentielle, sans jamais compromettre la qualité.<br>
●     Vous parlez correctement l'anglais</p>
<p><strong>Background</strong><br>
●     Ecole d’ingé, ou écoles d’informatique (Epitech…),<br>
●     Etre passé par une Start-up<br>
●     Avoir l'esprit start-up (polyvalent, pas peur de faire des heures)</p>
",backend-developer,,,,,,,recC6RWYEOatIMt7M,en
recCxmuaRimDj5fJh,2023-05-16,,75000,85000,"<p>They are looking for the person behind the data science. the candidate must be curious, collegial, hard-working individual with the vision to change the world. Critical questioning of key decisions and motivation to create efficient processes for clients and our company is crucial. He is humble, know when to ask for help, and enjoy learning alongside your colleagues. He take ownership and deliver results. This will makes a candidate the perfect Diesta team member!</p>
<p>Skills &amp; Experience needed:</p>
<ul class=""liste"">
<li>At least 5 years of experience in front-end development, with a focus on Angular framework</li>
<li>Strong understanding of HTML, CSS, and JavaScript, and experience with related tools and technologies (e.g. TypeScript, Bootstrap, jQuery)</li>
<li>Strong focus on efficient data organisation and retrieval, and ability to optimise application performance</li>
<li>Be a resident in England, Wales or Scotland</li>
<li>Be curious and reliable</li>
</ul>
<p>The wow factor (not required but the stuff we love to see!):</p>
<ul class=""liste"">
<li>Experience with Fintech companies</li>
<li>Have an understanding how insurance works</li>
<li>Experience in building and leading a tech team</li>
</ul>
",frontend-developer,3,3,5,9,,,recCxmuaRimDj5fJh,en
recDD8JBa77gVncOf,2023-07-03,,30000,40000,"<ul class=""liste"">
<li>2+ years of sales or customer service experience</li>
<li>Strong communication and organisational skills</li>
<li>Dependable, positive and detail-oriented with excellent follow-through skills</li>
<li>Able to deal with stakeholders at all levels externally</li>
</ul>
",others,2,2,2,5,recDD8JBa77gVncOf,europe/united-kingdom,recDD8JBa77gVncOf,en
recdN16e9aiTj0z3a,,,30000,42000,"<ul class=""liste"">
<li>Bachelor or Master in business</li>
<li>Based in Capital city is necessary</li>
<li>Knowledge of Entrepreneur</li>
<li>Passion for BTOB Sales, eager to get more commissions</li>
<li>Fluency in English and local language</li>
<li>Driving License</li>
<li>Willing to travel</li>
<li>Be able to attend necessary meetings</li>
<li>Experienced candidates: experience in consumer electronics (mobile phones, headphones, etc.) or physical product sales; Inexperienced candidates: favouring recent graduate</li>
</ul>
",sales-manager,0,0,0,3,recdN16e9aiTj0z3a,europe/spain/madrid,recdN16e9aiTj0z3a,"en,es"
recDVuCcjwX5kSgiz,2023-06-05,,70000,85000,"<p>Experiences in cross-border ecommerce<br>
Need to be very familiar with logistics integrations<br>
Understanding of warehouse management solutions<br>
Deep understanding of ERP solutions<br>
Experiences in dealing with any of the tools that allowed you to build Social Commerce store front<br>
Experiences with frontend and backend technology</p>
",head-of-it,5,5,5,8,recDVuCcjwX5kSgiz,asia/china,recDVuCcjwX5kSgiz,"en,zh"
recdYRR2lhoXCtgPl,2023-06-01,2023-07-01,35000,60000,,accounting-manager,0,0,3,6,recdYRR2lhoXCtgPl,europe/netherlands,recdYRR2lhoXCtgPl,en
recE7Uwh9pZXjc1Zv,,,300000,300000,"<p>● 2+ year experience in a direct sales, partnerships or account growth role<br>
● Interest or experience in China and Chinese digital platforms<br>
● Ability to control a full sales-cycle from the initial stage of booking meetings to closing deals<br>
● Excellent presentation and communication skills<br>
● Ability to create and maintain fruitful long-term relationships with clients<br>
● Crafting compelling messaging to put across our value proposition succinctly<br>
● Team-player with a positive and energetic approach and the ability to handle rejection<br>
● University degree<br>
Nice to have:<br>
● Experience using CRM software and cloud-based platforms<br>
● Mandarin as a first/second language would be fantastic<br>
● Great sense of humour</p>
",business-development,2,2,2,3,recE7Uwh9pZXjc1Zv,asia/china/shanghai,recE7Uwh9pZXjc1Zv,"en,zh"
recETHEgTGsGxaBPv,2023-04-03,,40000,60000,"<ul class=""liste"">
<li>Relevant education at Bachelor level and at least 5 years work experience with European automotive industry</li>
<li>Certification of EV repair or equal is a must and senior repair qualification or equal is preferred</li>
<li>Extensive experience with after sales, preferably in the technical support and management</li>
<li>Skilled with the use of automotive diagnostics tools，repair solutions provision and disassembly and assembly skills</li>
<li>French as mother language and good command of the English language (written and spoken)</li>
<li>Skilled in the use of basic computer applications (MS Office)</li>
<li>Very good communication skills, able to effectively communicate with professionals in different cultures</li>
<li>Creative thinking in order to find efficient, customer oriented after sales solutions</li>
<li>High level of flexibility</li>
</ul>
",technical-advisor,,,5,10,recETHEgTGsGxaBPv,europe/france,recETHEgTGsGxaBPv,"en,fr"
recF8O9IZfccY6kcf,,,,,,frontend-developer,,,,,recF8O9IZfccY6kcf,"europe/france,europe/switzerland",,
recfkE9v9SjgMs0Ss,,,,,,sales-representative,,,,,recfkE9v9SjgMs0Ss,"asia/china/hong-kong-sar,europe/united-kingdom",,
recFTe6bxv2mkH4YZ,,,,,,content-creator,,,,,recFTe6bxv2mkH4YZ,europe/france/paris,,
recG8muBLP1kihsPw,,,50000,50000,"<ul class=""liste"">
<li>All fields of study are welcome</li>
<li>This position requires that the candidate are fluent in both written and spoken English.</li>
<li>The candidate's clarity of communication is crucial in allowing the problem to be fixed, so strong written communication skills is a must.</li>
<li>Some experience with Microsoft Office, particularly with PowerPoint and Excel, is a plus. They will teach the rest.</li>
<li>Our testing department is still growing. This allows you to influence and build up your own working environment.</li>
<li>Fluent in German is a plus</li>
</ul>
",software-tester,2,2,2,10,recG8muBLP1kihsPw,europe/germany/berlin,recG8muBLP1kihsPw,en
recgPom2TZYbf9MnG,,,,,,front-end-developer,,,,,,,,
recGrGIFWaByaa5dg,,,60000,120000,"<p>2 to 10 years experience in a growth hacking/marketing role preferably in e-commerce industry<br>
- Proven track record launching successful marketing acquisition campaigns<br>
- Excellent analytical skills and ability to leverage data, metrics, analytics, and consumer behavior trends to generate creative ideas<br>
- Original/creative thinking and strong problem-solving skills<br>
- Excellent communication skills and full <strong>fluency in English</strong><br>
- <strong>Arabic proficiency <strong>(The main market would be Saudi Arabia)<br>
- Ability to work under pressure<br>
- Collaborative mindset<br>
 <br>
The company wants to avoid someone who has been the marketing director of a large company and who can forget how to do things himself.<br>
 <br>
 <br>
For a junior profile with 2 years experience the salary will be $<strong>60K + equity+ bonus</strong><br>
For a senior profile with 10 years of experience, the salary could be between</strong> 95 and 120K$</strong> per year <strong>+ equity+ bonus</strong><br>
For other candidates with between 3 and 9 years' experience the salary will be in between (negociable)<br>
<strong>-Sponsorship</strong></p>
<p></p>
",head-of-growth,,,,,recGrGIFWaByaa5dg,asia/saudi-arabia,recGrGIFWaByaa5dg,"ar,en"
recGxlU3W94snVhuH,,,55000,65000,"<p>This role is the lifeblood of new business for Qumin. You will be responsible for finding new business opportunities and bringing in new clients. Our goal for this hire is to find someone who is hungry to progress their career in sales and smash their targets.<br>
Your career progression is as important to us as it is to you, and we would like to see this role move into a leadership position.<br>
 <br>
-2+ year experience in a direct sales, partnerships or account growth role<br>
-Interest or experience in China and Chinese digital platforms<br>
-Ability to control a full sales-cycle from the initial stage of booking meetings to closing deals<br>
-Excellent presentation and communication skills<br>
-Ability to create and maintain fruitful long-term relationships with clients<br>
-Crafting compelling messaging to put across our value proposition succinctly<br>
-Team-player with a positive and energetic approach and the ability to handle rejection<br>
- University degree</p>
<p><strong>Nice to have:</strong><br>
-Experience using CRM software and cloud-based platforms<br>
-Mandarin as a first/second language would be fantastic<br>
-Great sense of humour</p>
",business-development-manager,,,,,recGxlU3W94snVhuH,europe/united-kingdom/city-of-london,,
recHntcG0TJbcORQy,2023-06-01,2023-07-01,35000,60000,,accounting-manager,0,0,3,6,recHntcG0TJbcORQy,europe/luxembourg,recHntcG0TJbcORQy,en
